Wavelength (nm),Irradiance (W/m^2 nm),Normalized,,wavelength,1.5 AM irrandiance,Normalized 1.5AM
,,,,2340,0.045366,3.16E-02
,,,,2345,0.050869,3.55E-02
,,,,2350,0.041115,2.87E-02
,,,,2355,0.046988,3.28E-02
,,,,2360,0.049724,3.47E-02
,,,,2365,0.048909,3.41E-02
,,,,2370,0.030514,2.13E-02
,,,,2375,0.043704,3.05E-02
,,,,2380,0.042128,2.94E-02
,,,,2385,0.030525,2.13E-02
,,,,2390,0.036748,2.56E-02
,,,,2395,0.040199,2.80E-02
,,,,2400,0.043726,3.05E-02
,,,,2405,0.033286,2.32E-02
,,,,2410,0.033504,2.34E-02
,,,,2415,0.027058,1.89E-02
,,,,2420,0.026358,1.84E-02
,,,,2425,0.032802,2.29E-02
,,,,2430,0.044725,3.12E-02
,,,,2435,0.014765,1.03E-02
,,,,2440,0.042926,2.99E-02
,,,,2445,0.020657,1.44E-02
,,,,2450,0.013523,9.43E-03
,,,,2455,0.024695,1.72E-02
,,,,2460,0.033157,2.31E-02
,,,,2465,0.024009,1.67E-02
,,,,2470,0.016635,1.16E-02
,,,,2475,0.016368,1.14E-02
,,,,2480,0.0079996,5.58E-03
,,,,2485,0.005584,3.89E-03
,,,,2490,0.0034957,2.44E-03
,,,,2495,0.0028647,2.00E-03
,,,,2500,0.0070328,4.90E-03
,,,,2505,0.0015124,1.05E-03
,,,,2510,0.0022063,1.54E-03
,,,,2515,5.16E-04,3.60E-04
,,,,2520,3.69E-04,2.57E-04
,,,,2525,4.12E-05,2.87E-05
,,,,2530,6.33E-07,4.41E-07
,,,,2535,1.74E-07,1.21E-07
,,,,2540,3.75E-07,2.62E-07
,,,,2545,5.35E-11,3.73E-11
,,,,2550,2.81E-13,1.96E-13
,,,,2555,1.04E-09,7.23E-10
,,,,2560,3.08E-11,2.15E-11
,,,,2565,1.58E-14,1.10E-14
,,,,2570,1.52E-18,1.06E-18
,,,,2575,1.07E-27,7.46E-28
,,,,2580,3.79E-22,2.64E-22
,,,,2585,1.71E-34,1.19E-34
,,,,2590,5.44E-31,3.79E-31
,,,,2595,2.27E-33,1.58E-33
,,,,2600,4.46E-28,3.11E-28
,,,,2605,5.76E-35,4.01E-35
,,,,2610,5.90E-34,4.11E-34
,,,,2615,1.11E-37,7.74E-38
,,,,2620,5.61E-29,3.91E-29
,,,,2625,3.84E-28,2.67E-28
,,,,2630,2.80E-45,1.95E-45
,,,,2635,3.87E-16,2.70E-16
,,,,2640,1.17E-16,8.12E-17
,,,,2645,8.93E-19,6.22E-19
,,,,2650,1.42E-19,9.89E-20
,,,,2655,1.30E-27,9.09E-28
,,,,2660,2.59E-25,1.80E-25
,,,,2665,1.10E-37,7.70E-38
